episode,reward
67200,4.353
67300,7.09
67400,4.651
67500,5.597
67600,6.984
67700,6.4405
67800,3.863
67900,6.7635
68000,6.669
68100,6.3895
68200,3.3335
68300,6.1715
68400,5.3455
68500,5.832
68600,5.7735
68700,4.907
68800,4.168
68900,3.726
69000,3.646
69100,5.8035
69200,5.168
69300,5.7755
69400,3.1645
69500,6.227
69600,7.414
69700,4.25
69800,6.1355
69900,5.6955
70000,3.626
70100,4.976
70200,5.9915
70300,4.611
70400,4.457
70500,5.2575
70600,7.18
70700,4.62
70800,4.1935
70900,4.293
71000,4.344
71100,5.006
71200,6.3215
71300,5.6805
71400,5.586
71500,4.9975
71600,4.9445
71700,6.5145
71800,2.793
71900,5.3985
72000,4.7475
72100,4.727
72200,2.635
72300,4.829
72400,5.6395
72500,5.2305
72600,6.6695
72700,6.0
72800,4.847
72900,5.7865
73000,5.846
73100,3.7155
73200,4.2845
73300,6.0075
73400,7.3955
73500,2.6995
73600,5.714
73700,6.4835
73800,4.14
73900,4.3775
74000,5.974
74100,5.801
74200,7.0045
74300,5.831
74400,6.093
74500,4.1465
74600,5.2055
74700,6.045
74800,5.6885
74900,7.7555
75000,3.187
75100,3.865
75200,5.511
75300,3.8845
75400,4.2875
75500,6.334
75600,4.6935
75700,3.923
75800,4.9925
75900,3.3935
76000,6.33
76100,6.954
76200,4.5635
76300,5.3275
76400,4.9185
76500,5.3495
76600,3.948
76700,6.9835
76800,4.585
76900,4.901
77000,4.6225
77100,4.7475
77200,7.1085
77300,3.4655
77400,3.865
77500,7.501
77600,4.9265
77700,7.0
77800,6.518
77900,4.6515
78000,5.571
78100,4.1965
78200,3.989
78300,5.2915
78400,6.489
78500,5.19
78600,5.9985
78700,3.309
78800,3.884
78900,6.171
79000,5.251
79100,4.876
79200,6.037
79300,4.9015
79400,4.4535
79500,6.4825
79600,3.5095
79700,3.1445
79800,4.237
79900,3.9085
80000,4.9565
80100,4.531
80200,2.2905
80300,5.6635
80400,3.241
80500,4.4885
80600,3.998
80700,6.4915
80800,4.6885
80900,4.544
81000,3.519
81100,4.893
81200,3.6455
81300,3.6735
81400,3.985
81500,3.0635
81600,4.859
81700,6.847
81800,5.3165
81900,3.4915
82000,6.551
82100,6.37
82200,6.4295
82300,3.413
82400,5.502
82500,2.821
82600,4.168
82700,5.3585
82800,5.354
82900,6.03
83000,4.3275
83100,5.414
83200,4.3885
83300,6.903
83400,3.6605
83500,4.5755
83600,8.6965
83700,6.8205
83800,5.526
83900,4.4105
84000,6.503
84100,6.7625
84200,5.697
84300,3.763
84400,5.057
84500,5.6085
84600,3.8865
84700,3.317
84800,6.302
84900,4.963
85000,5.8175
85100,4.056
85200,4.9885
85300,1.665
85400,7.2155
85500,3.84
85600,3.6785
85700,5.4865
85800,5.127
85900,7.223
86000,5.934
86100,4.8615
86200,4.404
86300,5.857
86400,3.7855
86500,3.43
86600,5.321
86700,4.458
86800,5.974
86900,5.241
87000,3.33
87100,3.571
87200,6.2905
87300,4.166
87400,5.1785
87500,4.4405
87600,5.7775
87700,7.531
87800,5.686
87900,4.693
88000,3.9375
88100,6.4805
88200,4.784
88300,4.0575
88400,3.1475
88500,6.0045
88600,4.6245
88700,4.663
88800,6.9685
88900,3.605
89000,6.91
89100,3.831
89200,2.674
89300,4.0955
89400,6.363
89500,4.9835
89600,4.165
89700,3.3595
89800,4.4925
89900,5.9225
90000,3.952
90100,5.649
90200,6.4375
90300,4.6025
90400,6.3675
90500,5.2065
90600,5.0565
90700,5.429
90800,6.31
90900,4.3
91000,4.508
91100,6.861
91200,3.4555
91300,4.9715
91400,5.0445
91500,6.7915
91600,6.637
91700,4.527
91800,4.348
91900,5.3335
92000,5.31
92100,7.442
92200,4.469
92300,5.43
92400,6.028
92500,3.2315
92600,5.373
92700,4.367
92800,4.0805
92900,4.8345
93000,5.8775
93100,3.307
93200,3.252
93300,5.8085
93400,4.315
93500,3.8575
93600,5.439
93700,3.983
93800,7.4665
93900,4.2035
94000,5.4565
94100,6.084
94200,5.7865
94300,6.809
94400,5.256
94500,3.8785
94600,3.467
94700,4.5545
94800,4.757
94900,5.7295
95000,6.0175
95100,4.9435
95200,6.009
95300,5.8375
95400,5.2915
95500,3.9885
95600,4.804
95700,5.43
95800,6.1865
95900,6.5965
96000,7.397
96100,5.1655
96200,2.4355
96300,5.843
96400,3.4945
96500,4.793
96600,3.997
96700,4.6105
96800,4.7965
96900,4.632
97000,3.649
97100,2.6805
97200,5.558
97300,3.881
97400,6.0275
97500,5.0965
97600,6.511
97700,3.1725
97800,7.1795
97900,5.9585
98000,7.369
98100,4.911
98200,6.16
98300,5.7175
98400,3.4135
98500,3.7585
98600,5.123
98700,4.096
98800,6.039
98900,3.3605
99000,3.2185
99100,4.9995
99200,3.761
99300,6.884
99400,5.3065
99500,2.7395
99600,5.2805
99700,5.143
99800,3.7885
99900,2.7435
